,sig
NUM_W2> 0.5 <1.5,0.0363643690466
CARE_REFERRER_No Referrer,0.0334267977695
SESSIONS_TO_COMPLETE<=1.5,0.0331555748296
STATE_ATTACH_COUNT<=0.5,0.0304316772619
COST_PER_CUST_LAG7>=2.6623878479003906,0.0271348421598
SESSIONS_TO_COMPLETE> 2.5 <4.5,0.0245236107495
CARE_REFERRER_MyTurboTax,0.0217969683576
COMPLETED_SKU_200|Free TTO,0.0196759806184
COST_PER_CUST> 3.7141399383544922 < 4.8751401901245117,0.0174815686741
NUM_EXEMPTIONS> 0.5 <2.5,0.0163688951838
SESSIONS_TO_COMPLETE>=4.5,0.0151394821041
CUSTOMER_TYPE_Veteran Renewer,0.0151232165292
NUM_DEPENDENTS> 0.5 <1.5,0.0150761407804
FED_FORM_TYPE_F1040A,0.0148293831175
CUSTOMER_TYPE_Skip Year,0.0140004854043
FIRST_SEARCH_MANUAL_LOCATION_DETAIL_-1,0.013817368061
STATE_ATTACH_COUNT>=1.5,0.0137388451632
CARE_REFERRER_Google/Yahoo/Bing/etc.,0.0133256839061
ENTERING_CONTACT_US_EXPERIENCE,0.0130927878647
FIRST_HS_INTENT_-1,0.0129781772365
DMA_AREA_New York,0.0128762097619
FIRST_HS_INTENT_contact,0.0128513227238
START_DEVICE_TYPE_Phone,0.0127867392842
PRS_SCORE_10.0,0.0122932946055
PRS_SCORE_-1,0.0121146888689
IMPORT_TYPE_Manual,0.0118554062693
REQUIRED_TAKE_FLAG,0.0116387892202
VAUTH_DEVICE_TYPE_Stationary,0.0115120330235
CUSTOMER_TYPE_1st Year Renewer,0.011419088655
AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5,0.0111229178986
FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow,0.0106486737446
FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_MyTurboTax_Non-CU Flow,0.0103405446334
PRS_SCORE_8.0,0.0100894262037
COST_PER_CUST>=12.4691162109375,0.00973670151511
STUDENT_TAXPAYER,0.00966901311865
REJECT_COUNT_1.0,0.00939083347543
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION> 0.5 <1200.5,0.00929070070286
NEAUTH_DEVICE_TYPE_Phone,0.00917476246446
DMA_AREA_Chicago,0.00911520475087
AMOUNT_REFUND<=110.5,0.0090471070452
PRS_SCORE_9.0,0.00888408830662
START_DEVICE_TYPE_Tablet,0.00845561352897
REJECT_COUNT_-1,0.00841387758194
DMA_AREA_Dallas-Fort Worth,0.00832801111242
DMA_AREA_Boston (Manchester  NH),0.00807900104615
DMA_AREA_Washington  DC (Hagerstown),0.00794561697475
VAUTH_DEVICE_TYPE_Phone,0.00793019385632
DMA_AREA_-1,0.00776820512831
