,sig
LAST_STATUS_NO EFILE FED_FORM_TYPE_F1040A IMPORT_TYPE_Partial,0.98412041683
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040 NEAUTH_DEVICE_TYPE_Stationary,0.906638317119
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040EZ IMPORT_TYPE_Partial,0.719711458799
FED_FORM_TYPE_F1040EZ IMPORT_TYPE_-1 AGE_TAXPAYER_pcl_'between 3.5 and 27.5',0.716612617751
LAST_STATUS_NO EFILE FED_FORM_TYPE_F1040A START_SKU_200|Free TTO,0.71026353146
IMPORT_TYPE_-1 AGE_TAXPAYER_pcl_'between 3.5 and 27.5' DMA_AREA_-1,0.680985595599
LAST_STATUS_REJECTED^2,0.663858413269
LAST_STATUS_REJECTED,0.663858413269
LAST_STATUS_REJECTED^3,0.663858413269
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040A^2,0.661044451361
LAST_STATUS_REJECTED^2 FED_FORM_TYPE_F1040A,0.661044451361
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040A,0.661044451361
LAST_STATUS_NO EFILE FED_FORM_TYPE_F1040A IMPORT_TYPE_-1,0.654529235304
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040A IMPORT_TYPE_Manual,0.58203940562
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040EZ START_SKU_200|Free TTO,0.573999595165
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040,0.562548391559
LAST_STATUS_REJECTED^2 FED_FORM_TYPE_F1040,0.562548391559
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040^2,0.562548391559
LAST_STATUS_NO EFILE FED_FORM_TYPE_F1040^2,0.555232302443
LAST_STATUS_NO EFILE^2 FED_FORM_TYPE_F1040,0.555232302443
LAST_STATUS_NO EFILE FED_FORM_TYPE_F1040,0.555232302443
FED_FORM_TYPE_F1040 DMA_AREA_-1 START_SKU_200|Free TTO,0.539832741174
LAST_STATUS_NO EFILE FED_FORM_TYPE_F1040A IMPORT_TYPE_Manual,0.533658252145
FED_FORM_TYPE_F1040 NEAUTH_DEVICE_TYPE_Stationary START_SKU_200|Free TTO,0.526301238917
LAST_STATUS_REJECTED AGE_TAXPAYER_pcl_'between 3.5 and 27.5' START_SKU_200|Free TTO,0.52436296837
LAST_STATUS_NO EFILE^2,0.522626692183
LAST_STATUS_NO EFILE,0.522626692183
LAST_STATUS_NO EFILE^3,0.522626692183
FED_FORM_TYPE_F1040A NEAUTH_DEVICE_TYPE_Tablet START_SKU_200|Free TTO,0.520054119404
LAST_STATUS_NO EFILE FED_FORM_TYPE_F1040EZ AGE_TAXPAYER_pcl_'between 3.5 and 27.5',0.508542876995
FED_FORM_TYPE_F1040A IMPORT_TYPE_Manual DMA_AREA_-1,0.49862450814
LAST_STATUS_REJECTED FED_FORM_TYPE_F1040EZ DMA_AREA_-1,0.494285484113
NEAUTH_DEVICE_TYPE_Phone AGE_TAXPAYER_pcl_'between 3.5 and 27.5' DMA_AREA_-1,0.490259954805
