,sig
CA_MAX_FLAG_py AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION>=29.5 AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5,0.526516120851
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION<=0.5 REQUIRED_TAKE_FLAG PRS_SCORE_-1,0.404700888089
REFUND_TRANSFER_FLAG AMOUNT_TAX<=1.5 AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5,0.349314816872
CA_MAX_FLAG_py AMOUNT_TAX<=1.5 REQUIRED_TAKE_FLAG,0.306911465467
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION<=0.5^2 AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5,0.303578942836
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION<=0.5 AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5^2,0.303578942836
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION<=0.5 AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5,0.303578942836
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION<=0.5 AMOUNT_REFUND<=542.5 REFUND_TRANSFER_FLAG,0.301021929663
AMOUNT_REFUND<=542.5 AMOUNT_TAX<=1.5 AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION>=29.5,0.284656786217
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION<=0.5 REFUND_TRANSFER_FLAG REQUIRED_TAKE_FLAG,0.267425130603
AMOUNT_REFUND<=542.5 AMOUNT_TAX<=1.5^2,0.255315054814
AMOUNT_REFUND<=542.5^2 AMOUNT_TAX<=1.5,0.255315054814
AMOUNT_REFUND<=542.5 AMOUNT_TAX<=1.5,0.255315054814
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION>=29.5 AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5,0.250208408538
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION>=29.5 AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5^2,0.250208408538
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION>=29.5^2 AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5,0.250208408538
AMOUNT_REFUND<=542.5 REFUND_TRANSFER_FLAG AMOUNT_TAX<=1.5,0.248048135374
REFUND_TRANSFER_FLAG AMOUNT_TAX<=1.5 REQUIRED_TAKE_FLAG,0.233591437576
REQUIRED_TAKE_FLAG AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5 PRS_SCORE_-1,0.219642826572
CA_MAX_FLAG_py,0.210602790294
CA_MAX_FLAG_py^3,0.210602790294
CA_MAX_FLAG_py^2,0.210602790294
AMOUNT_REFUND<=542.5 REQUIRED_TAKE_FLAG AMOUNT_TOTAL_PAYMENTS> 435.5 <5037.5,0.207941562601
CA_MAX_FLAG_py REFUND_TRANSFER_FLAG PRS_SCORE_-1,0.204040020383
REQUIRED_TAKE_FLAG^3,0.200677649626
REQUIRED_TAKE_FLAG^2,0.200677649626
REQUIRED_TAKE_FLAG,0.200677649626
AMOUNT_REFUND<=542.5^2 REQUIRED_TAKE_FLAG,0.19555065298
AMOUNT_REFUND<=542.5 REQUIRED_TAKE_FLAG^2,0.19555065298
AMOUNT_REFUND<=542.5 REQUIRED_TAKE_FLAG,0.19555065298
AMOUNT_REFUND<=542.5 AMOUNT_TAX<=1.5 PRS_SCORE_-1,0.187023366331
AMOUNT_TAX<=1.5^2,0.184941427679
AMOUNT_TAX<=1.5^3,0.184941427679
AMOUNT_TAX<=1.5,0.184941427679
