,sig
NUM_W2_0.0 VAUTH_DEVICE_TYPE_-1 FIRST_COMPLETE_DEVICE_TYPE_Phone,1.53781455763
VAUTH_DEVICE_TYPE_-1 IMPORT_TYPE_Manual CUSTOMER_TYPE_1st Year Renewer,1.45969608222
NUM_W2_0.0 FIRST_COMPLETE_DEVICE_TYPE_Phone DMA_AREA_Los Angeles,1.40779310306
START_SKU_200|Free TTO TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766' IMPORT_TYPE_Manual,1.18994831712
REJECT_COUNT_1.0 DMA_AREA_-1 IMPORT_TYPE_Manual,1.17571628455
FILING_STATUS_HeadOfHousehold FIRST_COMPLETE_DEVICE_TYPE_Phone DMA_AREA_Tulsa,1.14541525744
IMPORT_TYPE_Manual DMA_AREA_Los Angeles CUSTOMER_TYPE_1st Year Renewer,1.1287413312
PRS_SCORE_-1 REJECT_COUNT_3.0 AGE_SPOUSE_pcl_'<=18.5',1.07180154171
CUSTOMER_TYPE_Skip Year FIRST_COMPLETE_DEVICE_TYPE_Phone NUM_SCHC_1.0,1.05883230644
REJECT_COUNT_1.0 DMA_AREA_-1 TOTAL_REVENUE_pcl_'<=7.5',1.0573003048
VAUTH_DEVICE_TYPE_-1 TOTAL_REVENUE_pcl_'<=7.5' DMA_AREA_Los Angeles,1.02916305024
START_SKU_200|Free TTO PRS_SCORE_5.0 DMA_AREA_-1,1.02723180755
PRS_SCORE_-1 NUM_SCHC_1.0 IMPORT_TYPE_Manual,1.01316472561
REJECT_COUNT_1.0 PRS_SCORE_4.0 FIRST_COMPLETE_DEVICE_TYPE_Phone,1.00900912785
REJECT_COUNT_1.0 NUM_W2_0.0 DMA_AREA_Los Angeles,1.00767623111
FILING_STATUS_MarriedFilingSeparately FIRST_COMPLETE_DEVICE_TYPE_Phone AGE_SPOUSE_pcl_'<=18.5',1.00018911819
PRS_SCORE_6.0 FIRST_COMPLETE_DEVICE_TYPE_Phone AGE_SPOUSE_pcl_'<=18.5',0.992807077688
FILING_STATUS_MarriedFilingSeparately CUSTOMER_TYPE_Skip Year NUM_W2_0.0,0.990632126962
VAUTH_DEVICE_TYPE_-1 TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766' DMA_AREA_-1,0.990381782795
NUM_W2_0.0 VAUTH_DEVICE_TYPE_-1 TOTAL_REVENUE_pcl_'<=7.5',0.983855361989
REJECT_COUNT_1.0 NUM_DEPENDENTS_pcl_'<=0.5' DMA_AREA_Los Angeles,0.978208132872
PRS_SCORE_4.0 TOTAL_REVENUE_pcl_'<=7.5' CUSTOMER_TYPE_1st Year Renewer,0.965310241364
START_SKU_200|Free TTO PRS_SCORE_6.0 IMPORT_TYPE_Manual,0.962990965593
FILING_STATUS_MarriedFilingSeparately NUM_W2_0.0 NUM_SCHC_1.0,0.962258806849
REJECT_COUNT_1.0 PRS_SCORE_6.0 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.962172189001
AMOUNT_UNEMPLOYMENT_pcl_'<=7921.0' FIRST_COMPLETE_DEVICE_TYPE_Phone AGE_SPOUSE_pcl_'<=18.5',0.961614496193
REJECT_COUNT_1.0 PRS_SCORE_5.0 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.956577284055
VAUTH_DEVICE_TYPE_-1 DMA_AREA_-1 TOTAL_REVENUE_pcl_'<=7.5',0.945107082783
START_SKU_200|Free TTO VAUTH_DEVICE_TYPE_-1 DMA_AREA_Los Angeles,0.942074329316
FILING_STATUS_Single START_SKU_200|Free TTO AGE_SPOUSE_pcl_'<=18.5',0.938945025598
FILING_STATUS_MarriedFilingSeparately REJECT_COUNT_2.0 CUSTOMER_TYPE_1st Year Renewer,0.932230566981
FIRST_COMPLETE_DEVICE_TYPE_Phone DMA_AREA_New Orleans CUSTOMER_TYPE_1st Year Renewer,0.931259675891
REJECT_COUNT_1.0 PRS_SCORE_4.0 TOTAL_REVENUE_pcl_'<=7.5',0.923872655203
FILING_STATUS_Single PRS_SCORE_6.0 REJECT_COUNT_2.0,0.916564126284
TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766' REJECT_COUNT_2.0 NUM_DEPENDENTS_pcl_'<=0.5',0.902206474865
PRS_SCORE_-1 NUM_SCHC_1.0 DMA_AREA_Los Angeles,0.882307610216
CUSTOMER_TYPE_Skip Year PRS_SCORE_5.0 REJECT_COUNT_3.0,0.877274676978
CUSTOMER_TYPE_Skip Year VAUTH_DEVICE_TYPE_-1 REJECT_COUNT_2.0,0.853645690289
TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766' PRS_SCORE_6.0 CUSTOMER_TYPE_1st Year Renewer,0.850211620817
CUSTOMER_TYPE_Skip Year PRS_SCORE_6.0 AGE_SPOUSE_pcl_'<=18.5',0.849573731409
PRS_SCORE_6.0 DMA_AREA_-1 CUSTOMER_TYPE_1st Year Renewer,0.848541990071
NUM_W2_0.0 NUM_SCHC_2.0 CUSTOMER_TYPE_1st Year Renewer,0.846421285015
FILING_STATUS_MarriedFilingSeparately REJECT_COUNT_2.0 PRS_SCORE_-1,0.840913004313
REJECT_COUNT_1.0 VAUTH_DEVICE_TYPE_-1 IMPORT_TYPE_Manual,0.839576744068
START_SKU_200|Free TTO NUM_W2_0.0 DMA_AREA_New Orleans,0.829187200431
