,sig
AGE_TAXPAYER>=56.5 AGI_py> 45923.0 <85619.5^2,0.764071277755
AGE_TAXPAYER>=56.5 AGI_py> 45923.0 <85619.5,0.764071277755
AGE_TAXPAYER>=56.5^2 AGI_py> 45923.0 <85619.5,0.764071277755
START_DEVICE_TYPE_-1_py PRS_SCORE_10.0 AGE_TAXPAYER>=56.5,0.67869158979
PRS_SCORE_10.0 AMOUNT_REFUND> 2010.0 <11313.5 AGI_py> 45923.0 <85619.5,0.624418384492
START_DEVICE_TYPE_-1_py AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 AMOUNT_REFUND> 2010.0 <11313.5,0.605092757725
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 AMOUNT_REFUND> 2010.0 <11313.5^2,0.564078678114
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5^2 AMOUNT_REFUND> 2010.0 <11313.5,0.564078678114
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 AMOUNT_REFUND> 2010.0 <11313.5,0.564078678114
START_DEVICE_TYPE_-1_py AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 NUM_EXEMPTIONS> 1.5 <5.5,0.471876174546
PRS_SCORE_10.0 AMOUNT_REFUND> 2010.0 <11313.5 AGE_TAXPAYER<=31.5,0.471268736975
AGE_TAXPAYER>=56.5 NUM_EXEMPTIONS> 1.5 <5.5 AGI_py> 45923.0 <85619.5,0.464452060532
NUM_EXEMPTIONS> 1.5 <5.5 AGI_py> 45923.0 <85619.5 AGE_TAXPAYER<=31.5,0.441871800477
START_DEVICE_TYPE_-1_py AGE_TAXPAYER>=56.5 AGI_py> 45923.0 <85619.5,0.413568086616
PRS_SCORE_10.0 NUM_EXEMPTIONS<=0.5^2,0.410318592502
PRS_SCORE_10.0^2 NUM_EXEMPTIONS<=0.5,0.410318592502
PRS_SCORE_10.0 NUM_EXEMPTIONS<=0.5,0.410318592502
START_DEVICE_TYPE_-1_py PRS_SCORE_10.0 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.408807107247
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 PRS_SCORE_10.0 AMOUNT_REFUND> 2010.0 <11313.5,0.407029435069
NUM_EXEMPTIONS> 1.5 <5.5 AGI_py> 45923.0 <85619.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.395303794798
AMOUNT_REFUND> 2010.0 <11313.5^2 AGI_py> 45923.0 <85619.5,0.379637852409
AMOUNT_REFUND> 2010.0 <11313.5 AGI_py> 45923.0 <85619.5^2,0.379637852409
AMOUNT_REFUND> 2010.0 <11313.5 AGI_py> 45923.0 <85619.5,0.379637852409
AGI_py> 45923.0 <85619.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS^2,0.356493382384
AGI_py> 45923.0 <85619.5^2 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.356493382384
AGI_py> 45923.0 <85619.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.356493382384
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 PRS_SCORE_10.0 NUM_EXEMPTIONS> 1.5 <5.5,0.350536211051
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.340342113851
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5^2 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.340342113851
START_DEVICE_TYPE_-1_py AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.340342113851
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS^2,0.340342113851
START_DEVICE_TYPE_-1_py PRS_SCORE_10.0^2,0.328641887723
START_DEVICE_TYPE_-1_py^2 PRS_SCORE_10.0,0.328641887723
START_DEVICE_TYPE_-1_py PRS_SCORE_10.0,0.328641887723
SESSIONS_TO_COMPLETE> 6.5 <11.5^2 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.316551993757
SESSIONS_TO_COMPLETE> 6.5 <11.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS^2,0.316551993757
SESSIONS_TO_COMPLETE> 6.5 <11.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.316551993757
PRS_SCORE_10.0^2 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.31401104849
PRS_SCORE_10.0 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS^2,0.31401104849
PRS_SCORE_10.0 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.31401104849
START_DEVICE_TYPE_-1_py AGI_py> 45923.0 <85619.5 AGE_TAXPAYER<=31.5,0.308452105303
AGE_TAXPAYER>=56.5^2 NUM_EXEMPTIONS<=0.5,0.277804380181
AGE_TAXPAYER>=56.5 NUM_EXEMPTIONS<=0.5^2,0.277804380181
AGE_TAXPAYER>=56.5 NUM_EXEMPTIONS<=0.5,0.277804380181
NUM_EXEMPTIONS<=0.5^2,0.257272715712
NUM_EXEMPTIONS<=0.5,0.257272715712
NUM_EXEMPTIONS<=0.5^3,0.257272715712
AGI_py> 45923.0 <85619.5 AGE_TAXPAYER<=31.5 PRODUCT_EDITION_DESCRIPTION_TURBOTAX WEB PREMIER HOME & BUSINESS,0.254965726964
PRS_SCORE_10.0 NUM_EXEMPTIONS> 1.5 <5.5 AGI_py> 45923.0 <85619.5,0.251362380354
START_DEVICE_TYPE_-1_py NUM_EXEMPTIONS> 1.5 <5.5 AGI_py> 45923.0 <85619.5,0.251047247849
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 NUM_EXEMPTIONS> 1.5 <5.5 AGE_TAXPAYER<=31.5,0.249080258265
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5^2 AGE_TAXPAYER<=31.5,0.247415044229
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 AGE_TAXPAYER<=31.5^2,0.247415044229
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 AGE_TAXPAYER<=31.5,0.247415044229
AMOUNT_SALARIES_AND_WAGES> 73961.0 <235695.5 AMOUNT_REFUND> 2010.0 <11313.5 AGE_TAXPAYER<=31.5,0.247076309909
PRS_SCORE_10.0 NUM_EXEMPTIONS<=0.5 AGI_py> 45923.0 <85619.5,0.237872018104
