,sig
AMOUNT_SALARIES_AND_WAGES<=12255.5 NEAUTH_DEVICE_TYPE_Phone NUM_EXEMPTIONS> 0.5 <2.5,0.692721749315
AMOUNT_REFUND<=1154.5 AMOUNT_INCOME_TAX<=11.5 NEAUTH_DEVICE_TYPE_Phone,0.453371248832
NUM_EXEMPTIONS<=0.5 AMOUNT_SALARIES_AND_WAGES<=12255.5 PRS_SCORE_-1,0.440168244291
AMOUNT_REFUND<=1154.5 AMOUNT_SALARIES_AND_WAGES<=12255.5 NUM_EXEMPTIONS> 0.5 <2.5,0.365049088245
AMOUNT_REFUND<=1154.5 AMOUNT_INCOME_TAX<=11.5 AMOUNT_SALARIES_AND_WAGES<=12255.5,0.35794601854
AMOUNT_INCOME_TAX<=11.5 PRS_SCORE_-1 CARE_REFERRER_No Referrer,0.339496612355
NUM_EXEMPTIONS<=0.5 AMOUNT_INCOME_TAX<=11.5 CARE_REFERRER_No Referrer,0.32330508311
AMOUNT_SALARIES_AND_WAGES<=12255.5 NUM_EXEMPTIONS> 0.5 <2.5 PRS_SCORE_-1,0.314171439307
NUM_EXEMPTIONS<=0.5 AMOUNT_SALARIES_AND_WAGES<=12255.5 NEAUTH_DEVICE_TYPE_Phone,0.305437818405
NUM_EXEMPTIONS<=0.5 AMOUNT_INCOME_TAX<=11.5 PRS_SCORE_-1,0.276881792416
AMOUNT_INCOME_TAX<=11.5 NUM_EXEMPTIONS> 0.5 <2.5 CARE_REFERRER_No Referrer,0.2613711943
NUM_EXEMPTIONS<=0.5^3,0.242826655116
NUM_EXEMPTIONS<=0.5^2,0.242826655116
NUM_EXEMPTIONS<=0.5,0.242826655116
NEAUTH_DEVICE_TYPE_Phone NUM_EXEMPTIONS> 0.5 <2.5 CARE_REFERRER_No Referrer,0.22089367178
NUM_EXEMPTIONS<=0.5 NEAUTH_DEVICE_TYPE_Phone CARE_REFERRER_No Referrer,0.195087345418
AMOUNT_INCOME_TAX<=11.5 AMOUNT_SALARIES_AND_WAGES<=12255.5^2,0.189465359641
AMOUNT_INCOME_TAX<=11.5 AMOUNT_SALARIES_AND_WAGES<=12255.5,0.189465359641
