,sig
SESSIONS_TO_COMPLETE<=2.5 AMOUNT_REFUND> 53.5 <3109.5^2,0.427430331492
SESSIONS_TO_COMPLETE<=2.5^2 AMOUNT_REFUND> 53.5 <3109.5,0.427430331492
SESSIONS_TO_COMPLETE<=2.5 AMOUNT_REFUND> 53.5 <3109.5,0.427430331492
AMOUNT_INCOME_TAX_WITHHELD<=20.0,0.400574569045
AMOUNT_INCOME_TAX_WITHHELD<=20.0 AMOUNT_TOTAL_TAX<=3235.5,0.400574569045
AMOUNT_INCOME_TAX_WITHHELD<=20.0^3,0.400574569045
AMOUNT_INCOME_TAX_WITHHELD<=20.0^2 AMOUNT_TOTAL_TAX<=3235.5,0.400574569045
AMOUNT_INCOME_TAX_WITHHELD<=20.0 AMOUNT_TOTAL_TAX<=3235.5^2,0.400574569045
AMOUNT_INCOME_TAX_WITHHELD<=20.0^2,0.400574569045
SESSIONS_TO_COMPLETE<=2.5 AMOUNT_TOTAL_TAX<=3235.5 AMOUNT_REFUND> 53.5 <3109.5,0.291598598568
CARE_REFERRER_MyTurboTax AMOUNT_REFUND> 53.5 <3109.5 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.290579594041
AMOUNT_INCOME_TAX_WITHHELD<=20.0 AMOUNT_TOTAL_TAX<=3235.5 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.27169699695
AMOUNT_INCOME_TAX_WITHHELD<=20.0 SESSIONS_TO_COMPLETE<=2.5 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.27169699695
AMOUNT_INCOME_TAX_WITHHELD<=20.0 FIRST_COMPLETE_DEVICE_TYPE_Phone^2,0.27169699695
AMOUNT_INCOME_TAX_WITHHELD<=20.0 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.27169699695
AMOUNT_INCOME_TAX_WITHHELD<=20.0^2 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.27169699695
AMOUNT_TOTAL_TAX<=3235.5 CARE_REFERRER_MyTurboTax FIRST_COMPLETE_DEVICE_TYPE_Phone,0.245592759256
CARE_REFERRER_MyTurboTax FIRST_COMPLETE_DEVICE_TYPE_Phone,0.245592759256
CARE_REFERRER_MyTurboTax^2 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.245592759256
CARE_REFERRER_MyTurboTax FIRST_COMPLETE_DEVICE_TYPE_Phone^2,0.245592759256
