,sig
REJECT_COUNT_3.0 STATE_ATTACH_COUNT<=0.5 IMPORT_TYPE_Manual,1.1672157237
REJECT_COUNT_3.0 REQUIRED_TAKE_FLAG COST_PER_CUST>=12.4691162109375,1.00468672385
REQUIRED_TAKE_FLAG DMA_AREA_New Orleans IMPORT_TYPE_Manual,0.965480768915
DMA_AREA_New Orleans STATE_ATTACH_COUNT<=0.5 VAUTH_DEVICE_TYPE_-1,0.965106069138
REJECT_COUNT_2.0 AMOUNT_REFUND<=0.5 IMPORT_TYPE_Manual,0.944656189451
FILING_STATUS_MarriedFilingSeparately COST_PER_CUST>=12.4691162109375 VAUTH_DEVICE_TYPE_-1,0.9243157897
COST_PER_CUST>=12.4691162109375 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow AMOUNT_REFUND<=110.5,0.923957061798
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 AMOUNT_REFUND<=110.5 IMPORT_TYPE_Manual,0.917124345155
REJECT_COUNT_3.0 COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 VAUTH_DEVICE_TYPE_-1,0.87081680105
REJECT_COUNT_-1^3,0.865020971539
REJECT_COUNT_-1,0.865020971539
REJECT_COUNT_-1^2,0.865020971539
DMA_AREA_New Orleans STATE_ATTACH_COUNT<=0.5 AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5,0.842629483628
FILING_STATUS_MarriedFilingSeparately REJECT_COUNT_2.0 COST_PER_CUST>=12.4691162109375,0.818017006404
REJECT_COUNT_2.0 AGI<=1217.5 IMPORT_TYPE_Manual,0.812440383074
COST_PER_CUST>=12.4691162109375 VAUTH_DEVICE_TYPE_-1 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.809700701288
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 VAUTH_DEVICE_TYPE_-1 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.806759209084
REJECT_COUNT_3.0 COST_PER_CUST>=12.4691162109375 VAUTH_DEVICE_TYPE_-1,0.793121112559
REJECT_COUNT_1.0 COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 AMOUNT_REFUND<=0.5,0.779089451031
