,sig
PRODUCT_ROLLUP_PAID WEB DMA_AREA_New York FILING_STATUS_HeadOfHousehold,0.990709213295
PRODUCT_ROLLUP_PAID WEB PRS_SCORE_9.0 DMA_AREA_Houston,0.711356561808
PRODUCT_ROLLUP_PAID WEB PRS_SCORE_9.0 AUDIT_DEFENSE_FLAG,0.691828500306
PRODUCT_ROLLUP_PAID WEB^2 sales_taxpayer,0.59986585252
PRODUCT_ROLLUP_PAID WEB sales_taxpayer^2,0.59986585252
PRODUCT_ROLLUP_PAID WEB sales_taxpayer,0.59986585252
PRODUCT_ROLLUP_PAID WEB AUDIT_DEFENSE_FLAG DMA_AREA_Houston,0.513419037064
PRODUCT_ROLLUP_PAID WEB^2,0.45456535529
PRODUCT_ROLLUP_PAID WEB,0.45456535529
PRODUCT_ROLLUP_PAID WEB^3,0.45456535529
AUDIT_DEFENSE_FLAG DMA_AREA_Houston FILING_STATUS_HeadOfHousehold,0.436771332671
DMA_AREA_New York PRS_SCORE_9.0 STATE_ATTACH_COUNT,0.432330004807
DMA_AREA_New York AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.398593174826
DMA_AREA_New York AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0'^2,0.398593174826
DMA_AREA_New York AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0' STATE_ATTACH_COUNT,0.398593174826
DMA_AREA_New York^2 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.398593174826
PRODUCT_ROLLUP_PAID WEB PRS_SCORE_9.0 STATE_ATTACH_COUNT,0.396841431946
AUDIT_DEFENSE_FLAG,0.38915289854
AUDIT_DEFENSE_FLAG^3,0.38915289854
AUDIT_DEFENSE_FLAG^2,0.38915289854
PRODUCT_ROLLUP_PAID WEB DMA_AREA_New York STATE_ATTACH_COUNT,0.376790995384
PRS_SCORE_9.0 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0'^2,0.361641266858
PRS_SCORE_9.0^2 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.361641266858
PRS_SCORE_9.0 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.361641266858
PRS_SCORE_9.0 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0' STATE_ATTACH_COUNT,0.361641266858
DMA_AREA_New York AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0' FILING_STATUS_HeadOfHousehold,0.350012677064
DMA_AREA_New York sales_taxpayer FILING_STATUS_HeadOfHousehold,0.347356719877
PRODUCT_ROLLUP_PAID WEB AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.341082913675
PRODUCT_ROLLUP_PAID WEB^2 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.341082913675
PRODUCT_ROLLUP_PAID WEB AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0'^2,0.341082913675
AUDIT_DEFENSE_FLAG FILING_STATUS_HeadOfHousehold^2,0.330430891953
AUDIT_DEFENSE_FLAG FILING_STATUS_HeadOfHousehold,0.330430891953
AUDIT_DEFENSE_FLAG^2 FILING_STATUS_HeadOfHousehold,0.330430891953
PRODUCT_ROLLUP_PAID WEB DMA_AREA_Houston FILING_STATUS_HeadOfHousehold,0.322542791064
AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0' STATE_ATTACH_COUNT FILING_STATUS_HeadOfHousehold,0.31777109712
DMA_AREA_Houston STATE_ATTACH_COUNT,0.307663088117
DMA_AREA_Houston^2 STATE_ATTACH_COUNT,0.307663088117
DMA_AREA_Houston STATE_ATTACH_COUNT^2,0.307663088117
DMA_AREA_New York STATE_ATTACH_COUNT^2,0.306106256504
DMA_AREA_New York STATE_ATTACH_COUNT,0.306106256504
DMA_AREA_New York^2 STATE_ATTACH_COUNT,0.306106256504
PRODUCT_ROLLUP_PAID WEB STATE_ATTACH_COUNT FILING_STATUS_HeadOfHousehold,0.285861529917
sales_taxpayer^2 PRS_SCORE_9.0,0.285844057775
sales_taxpayer PRS_SCORE_9.0,0.285844057775
sales_taxpayer PRS_SCORE_9.0^2,0.285844057775
PRODUCT_ROLLUP_PAID WEB DMA_AREA_Houston,0.250984026631
PRODUCT_ROLLUP_PAID WEB^2 DMA_AREA_Houston,0.250984026631
PRODUCT_ROLLUP_PAID WEB DMA_AREA_Houston^2,0.250984026631
PRS_SCORE_9.0 AUDIT_DEFENSE_FLAG AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.250107266458
PRS_SCORE_6.0 DMA_AREA_Houston,0.2455802926
PRS_SCORE_6.0^2 DMA_AREA_Houston,0.2455802926
PRS_SCORE_6.0 DMA_AREA_Houston^2,0.2455802926
AUDIT_DEFENSE_FLAG PRS_SCORE_6.0,0.209859254789
PRODUCT_ROLLUP_PAID WEB AUDIT_DEFENSE_FLAG PRS_SCORE_6.0,0.209859254789
AUDIT_DEFENSE_FLAG^2 PRS_SCORE_6.0,0.209859254789
AUDIT_DEFENSE_FLAG PRS_SCORE_6.0^2,0.209859254789
sales_taxpayer FILING_STATUS_HeadOfHousehold,0.207706548424
sales_taxpayer^2 FILING_STATUS_HeadOfHousehold,0.207706548424
sales_taxpayer FILING_STATUS_HeadOfHousehold^2,0.207706548424
PRODUCT_ROLLUP_PAID WEB PRS_SCORE_6.0 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.185638388037
PRS_SCORE_6.0 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.185638388037
PRS_SCORE_6.0 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0' FILING_STATUS_HeadOfHousehold,0.185638388037
PRS_SCORE_6.0^2 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0',0.185638388037
PRS_SCORE_6.0 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0'^2,0.185638388037
PRS_SCORE_6.0 AMOUNT_CHILD_CARE_CREDIT_pcl_'>2.0' STATE_ATTACH_COUNT,0.185638388037
sales_taxpayer PRS_SCORE_9.0 STATE_ATTACH_COUNT,0.182950255233
FILING_STATUS_HeadOfHousehold^3,0.174468122716
FILING_STATUS_HeadOfHousehold,0.174468122716
FILING_STATUS_HeadOfHousehold^2,0.174468122716
PRS_SCORE_9.0 DMA_AREA_Houston FILING_STATUS_HeadOfHousehold,0.160135610291
PRODUCT_ROLLUP_PAID WEB sales_taxpayer AUDIT_DEFENSE_FLAG,0.15385742073
DMA_AREA_Houston STATE_ATTACH_COUNT FILING_STATUS_HeadOfHousehold,0.153752617632
DMA_AREA_New York AUDIT_DEFENSE_FLAG,0.152464201072
DMA_AREA_New York^2 AUDIT_DEFENSE_FLAG,0.152464201072
DMA_AREA_New York AUDIT_DEFENSE_FLAG^2,0.152464201072
DMA_AREA_New York AUDIT_DEFENSE_FLAG STATE_ATTACH_COUNT,0.152464201072
PRODUCT_ROLLUP_PAID WEB DMA_AREA_New York PRS_SCORE_9.0,0.148081007828
DMA_AREA_New York^2 sales_taxpayer,0.147052446296
DMA_AREA_New York sales_taxpayer^2,0.147052446296
DMA_AREA_New York sales_taxpayer STATE_ATTACH_COUNT,0.147052446296
DMA_AREA_New York sales_taxpayer,0.147052446296
PRS_SCORE_9.0 STATE_ATTACH_COUNT FILING_STATUS_HeadOfHousehold,0.14591012834
STATE_ATTACH_COUNT^3,0.143975587898
STATE_ATTACH_COUNT,0.143975587898
STATE_ATTACH_COUNT^2,0.143975587898
